ARocketLogger CSV File
File Version,3
Block Size,1
Block Count,1785059             
Sample Count,1785059             
Sample Rate,1
MAC Address,98:5d:ad:b2:2e:9d
Start Time,Wed Mar 10 03:16:18 2021
Comment,

,I1L_valid,I2L_valid,I1H [nA],I1L [10pA],V1 [10nV],V2 [10nV],I2H [nA],I2L [10pA]
1615674282.836847723,1,1,-49182,667515,-1246625,25794239,126274,10822
1615674283.840392969,1,1,-50478,385135,-1248960,25791179,121643,-285784
1615674284.843914628,1,1,-47442,545691,-1248100,25793994,126432,-63307
1615674285.847449129,1,1,-46114,652495,-1246134,25793749,126621,34551
1615674286.850983473,1,1,-51585,389534,-1247240,25792648,126306,-181970
1615674287.854512515,1,1,-47916,664272,-1246625,25792770,125676,8493
1615674288.858059868,1,1,-50542,386502,-1248223,25791546,122809,-283962
1615674289.861560741,1,1,-48043,548705,-1247608,25794606,123911,-60750
1615674290.865118015,1,1,-46493,691315,-1246011,25794851,128007,102674
1615674291.868650914,1,1,-46715,752586,-1245519,25794361,127030,111448
1615674292.872178117,1,1,-49118,662520,-1245642,25794117,124006,8300
1615674293.875720261,1,1,-51048,389779,-1248100,25791669,124037,-272702
1615674294.879244233,1,1,-51585,549494,-1246994,25794117,124384,-59069
1615674295.882789165,1,1,-49688,734306,-1244290,25794606,126054,152760
1615674296.886313165,1,1,-65881,-1090366,-1251540,25794606,126117,103743
1615674297.889845789,1,1,-47410,535175,-1247485,25793015,123785,-110835
1615674298.893387662,1,1,-49814,392864,-1247240,25791424,122557,-264751
1615674299.896907693,1,1,-48992,551737,-1246379,25793994,124321,-57738
1615674300.900451907,1,1,-48391,767080,-1245888,25794851,127660,190762
1615674301.903989480,1,1,-46968,733711,-1245396,25794729,129078,88297
1615674302.907502243,1,1,-45987,660802,-1246011,25794361,126810,5341
1615674303.911038724,1,1,-50889,400084,-1247485,25792036,122210,-252528
1615674304.914571612,1,1,-46809,552491,-1246625,25794361,126778,-57370
1615674305.918115172,1,1,-45323,806637,-1243307,25796197,130055,233246
1615674306.921642567,1,1,-48454,721565,-1244536,25794606,128480,74567
1615674307.925170095,1,1,-64774,-967631,-1252401,25793872,126526,-61415
1615674308.928717535,1,1,-52123,384872,-1247854,25793137,122903,-264821
1615674309.932255107,1,1,-50795,553665,-1245519,25793382,123722,-56249
1615674310.935775275,1,1,-45386,830787,-1245028,25796442,129425,255435
1615674311.939303872,1,1,-46809,713223,-1245028,25794606,127093,63955
1615674312.942839706,1,1,-49466,648394,-1245765,25793749,125613,-4518
1615674313.946363283,1,1,-50289,420590,-1245765,25793994,122178,-220515
1615674314.949907418,1,1,-49023,549757,-1246625,25794484,125014,-57825
1615674315.953433814,1,1,-46462,828088,-1243922,25796320,128952,252930
1615674316.956974000,1,1,-47537,719024,-1244782,25794606,128259,68315
1615674317.960500051,1,1,-48043,653196,-1245642,25793994,124856,-262
1615674318.964033531,1,1,-60473,-457254,-1249451,25791791,119406,-711509
1615674319.967573628,1,1,-48138,540030,-1245028,25795096,126999,-74409
1615674320.971101391,1,1,-47632,804533,-1243922,25796442,127818,229656
1615674321.974639815,1,1,-46398,729627,-1244536,25794973,124793,82202
1615674322.978169102,1,1,-48486,660154,-1244536,25794606,126652,5428
1615674323.981698885,1,1,-53451,389849,-1246871,25793015,123029,-265679
1615674324.985235378,1,1,-48676,549249,-1245519,25793137,123974,-59139
1615674325.988756665,1,1,-49972,696783,-1245028,25795953,129204,109609
1615674326.992294578,1,1,-46050,764907,-1244413,25795830,129047,127192
1615674327.995835214,1,1,-48960,665008,-1245274,25794973,125550,11207
1615674328.999357401,1,1,-49055,380455,-1247240,25792158,122021,-292823
1615674330.002893246,1,1,-52439,62252,-1246134,25794851,123754,-318234
1615674331.006443905,1,1,-50447,578202,-1243553,25795218,128228,-35234
1615674332.009966616,1,1,-47474,813752,-1243553,25795953,127345,195858
1615674333.013495718,1,1,-47031,676067,-1245765,25794729,126463,21907
1615674334.017019596,1,1,-51490,423797,-1246379,25793382,123281,-259935
1615674335.020559257,1,1,-48422,524835,-1246011,25794973,124006,-85565
1615674336.024097001,1,1,-49308,561026,-1244782,25794361,122903,-48771
1615674337.027644418,1,1,-46525,834854,-1243553,25795708,128007,234245
1615674338.031166626,1,1,-47569,681203,-1244413,25794484,126684,30103
1615674339.034695903,1,1,-48075,534842,-1246257,25794361,124982,-136999
1615674340.038220709,1,1,-51396,499177,-1244782,25794851,124825,-118033
1615674341.041757314,1,1,-48960,443532,-1244782,25794851,125707,-117105
1615674342.045288976,1,1,-46841,834293,-1242939,25797421,128448,240514
1615674343.048821817,1,1,-48138,693208,-1244782,25796320,126873,39210
1615674344.052352519,1,1,-47347,577956,-1244290,25794606,124321,-85635
1615674345.055886099,1,1,-48328,486313,-1244536,25794606,125108,-134057
1615674346.059419555,1,1,-46493,559607,-1244045,25795585,127377,-51083
1615674347.062952243,1,1,-46715,838341,-1242447,25796442,128102,250233
1615674348.066481353,1,1,-48422,693611,-1242324,25795096,124289,42187
1615674349.070025324,1,1,-47284,582916,-1243676,25795463,126148,-78105
1615674350.073557259,1,1,-49561,483053,-1244290,25794973,124447,-138645
1615674351.077076317,1,1,-50162,557451,-1243799,25795341,123502,-51801
1615674352.080611169,1,1,-43647,824461,-1243062,25797299,127692,247852
1615674353.084151674,1,1,-49308,688406,-1243307,25795830,124037,35339
1615674354.087678418,1,1,-48897,573768,-1244290,25795096,123722,-89470
1615674355.091211085,1,1,-50605,491553,-1245028,25794729,121674,-126176
1615674356.094748473,1,1,-46936,559431,-1243922,25794851,124447,-50453
1615674357.098276136,1,1,-47695,836448,-1241710,25796442,128291,242983
1615674358.101816615,1,1,-48296,687705,-1243553,25795830,125077,34604
1615674359.105343332,1,1,-47600,503401,-1244905,25793749,122966,-171498
1615674360.108881331,1,1,-49593,522171,-1244536,25795830,124762,-90468
1615674361.112424048,1,1,-48581,560816,-1243553,25795218,124226,-48579
1615674362.115951728,1,1,-43900,832382,-1240973,25796687,130779,226382
1615674363.119478523,1,1,-45702,716342,-1244045,25796075,128102,21400
1615674364.123015197,1,1,-48834,420590,-1244536,25793627,123722,-265819
1615674365.126540823,1,1,-49719,524993,-1244168,25795830,126085,-82885
1615674366.130078292,1,1,-50383,567984,-1242570,25794973,126400,-42467
1615674367.133601094,1,1,-45260,821989,-1240358,25797054,129236,209255
1615674368.137158285,1,1,-48770,676541,-1242693,25796197,126274,22608
1615674369.140656704,1,1,-48359,406534,-1244290,25793627,123407,-277290
1615674370.144208931,1,1,-46778,530058,-1244782,25795708,127219,-77527
1615674371.147739073,1,1,-49403,589611,-1242570,25796932,125550,-41083
1615674372.151271028,1,1,-44469,821060,-1242079,25798278,127881,212162
1615674373.154800992,1,1,-47315,676330,-1243553,25795708,126085,24604
1615674374.158337859,1,1,-51585,315136,-1245151,25794361,124321,-332559
1615674375.161873326,1,1,-50225,522697,-1242816,25795830,127377,-86318
1615674376.165404757,1,1,-47474,562726,-1243430,25797054,124793,-44796
1615674377.168938984,1,1,-45639,820517,-1240604,25798278,123313,208869
1615674378.172476184,1,1,-48897,673474,-1242693,25796809,125392,21610
1615674379.176000641,1,1,-48770,387431,-1245028,25794851,124951,-291878
1615674380.179529408,1,1,-49118,538085,-1242324,25796197,126495,-69629
1615674381.183064622,1,1,-49371,600986,-1241464,25797544,124636,-332
1615674382.186594672,1,1,-46620,774984,-1241710,25796320,126904,146841
1615674383.190136786,1,1,-47600,662800,-1243185,25796932,127534,10104
1615674384.193657854,1,1,-51585,384136,-1243553,25794606,124321,-279357
1615674385.197198036,1,1,-51111,379491,-1242693,25796442,123029,-215559
1615674386.200737171,1,1,-44406,753270,-1240850,25798768,126400,172514
1615674387.204270192,1,1,-46715,726490,-1243307,25797421,125234,80749
1615674388.207808617,1,1,-49466,649445,-1242570,25795708,125108,-963
1615674389.211325027,1,1,-49909,427337,-1244045,25796075,124478,-209587
1615674390.214865508,1,1,-46082,555295,-1243185,25796442,127188,-53430
1615674391.218392650,1,1,-42856,840760,-1240481,25798523,126589,258990
1615674392.221948461,1,1,-49593,692156,-1242570,25797054,126243,41276
1615674393.225455455,1,1,-49340,559414,-1242324,25795953,125140,-105424
1615674394.228991093,1,1,-46177,505837,-1243185,25795585,126558,-110380
1615674395.232523542,1,1,-49593,556785,-1241218,25796687,126054,-50978
1615674396.236068354,1,1,-47632,802606,-1239621,25793015,100124,-2444513
1615674397.239586300,1,1,-48834,683218,-1242079,25796442,124037,28632
1615674398.243124503,1,1,-50194,482895,-1242447,25796442,126022,-193791
1615674399.246652100,1,1,-48644,518543,-1241710,25795708,124195,-91939
1615674400.250199768,1,1,-48612,562201,-1241956,25796809,126022,-48719
1615674401.253718850,1,1,-46936,831997,-1240235,25798278,126904,232126
1615674402.257260928,1,1,-48043,683884,-1241710,25797666,124951,31960
1615674403.260788682,1,1,-48517,489380,-1242939,25796197,122336,-186734
1615674404.264318841,1,1,-50036,515774,-1242079,25796442,124195,-95897
1615674405.267848470,1,1,-48802,557083,-1241096,25796075,124730,-50277
1615674406.271387995,1,1,-45639,835572,-1240358,25798890,125802,238658
1615674407.274922802,1,1,-47252,638018,-1242324,25795830,123218,-361402
1615674408.278448007,1,1,-49435,501560,-1243676,25795341,125266,-174195
1615674409.281988415,1,1,-50542,514600,-1242201,25797421,125770,-98086
1615674410.285524101,1,1,-49182,557942,-1242079,25797544,125770,-50645
1615674411.289043097,1,1,-47157,836729,-1240481,25799257,127975,237432
1615674412.292589890,1,1,-47474,682745,-1242079,25797054,127818,49594
1615674413.296133575,1,1,-47600,475692,-1241956,25795463,123659,-201549
1615674414.299646866,1,1,-47727,519717,-1241710,25797421,122021,-90381
1615674415.303180919,1,1,-48454,559922,-1241464,25797911,122430,-48369
1615674416.306713068,1,1,-45639,830858,-1239990,25798645,127692,225786
1615674417.310243906,1,1,-47822,678328,-1241218,25797666,127944,25900
1615674418.313781622,1,1,-37574,1863914,-1238024,25797421,131158,422030
1615674419.317308936,1,1,-48106,529199,-1240358,25797666,124163,-80469
1615674420.320846810,1,1,-46999,567073,-1241587,25798033,125550,-41206
1615674421.324375318,1,1,-45861,814628,-1239621,25798768,126306,198344
1615674422.327924901,1,1,-46019,667690,-1241341,25798768,127597,16076
1615674423.331437795,1,1,-50257,386449,-1241833,25794361,122683,-293699
1615674424.334973346,1,1,-50636,527446,-1241341,25797666,125896,-76581
1615674425.338507622,1,1,-50415,587771,-1240850,25797666,125550,-16479
1615674426.342037010,1,1,-46050,801782,-1240727,25798523,126589,179414
1615674427.345575271,1,1,-49087,667462,-1240481,25796932,128007,15848
1615674428.349108006,1,1,-50889,384784,-1241341,25795218,124888,-294470
1615674429.352642244,1,1,-58512,-485664,-1245274,25795953,114617,-895003
1615674430.356176044,1,1,-50383,569702,-1240235,25796687,126148,-38789
1615674431.359708921,1,1,-43141,819203,-1239621,25798890,128732,206312
1615674432.363240656,1,1,-45955,673824,-1240235,25797299,126180,21189
1615674433.366773634,1,1,-52155,418960,-1241710,25795585,121296,-262667
1615674434.370298677,1,1,-48011,528656,-1240850,25797911,123313,-80154
1615674435.373840134,1,1,-46462,561640,-1240850,25796197,125707,-46004
1615674436.377367993,1,1,-45355,830612,-1238269,25799624,130590,226574
1615674437.380894941,1,1,-47126,680256,-1240727,25797177,127629,29560
1615674438.384436522,1,1,-48992,470066,-1242079,25796809,123848,-207854
1615674439.387968436,1,1,-50320,516142,-1241710,25797666,126085,-92395
1615674440.391504845,1,1,-48897,494971,-1242447,25796809,125140,-151604
1615674441.395029152,1,1,-47347,831453,-1238638,25799624,129204,233264
1615674442.398562417,1,1,-46303,685426,-1238884,25797299,126841,33185
1615674443.402099671,1,1,-47569,508273,-1240850,25796442,123092,-163442
1615674444.405634501,1,1,-48391,510078,-1239252,25797789,125959,-99610
1615674445.409165649,1,1,-48011,558082,-1240113,25797544,126306,-49192
1615674446.412695738,1,1,-45861,833855,-1238761,25799502,126967,237344
1615674447.416224362,1,1,-45070,683884,-1239621,25797421,124226,32397
1615674448.419764185,1,1,-51396,474921,-1241218,25796442,121548,-199763
1615674449.423290025,1,1,-48233,518946,-1239498,25797544,123565,-90731
1615674450.426832322,1,1,-48075,559221,-1240235,25797421,123187,-47651
1615674451.430361768,1,1,-45007,785851,-1238761,25798645,129551,169379
1615674452.433893756,1,1,-45671,673018,-1239252,25798156,126148,20577
1615674453.437432922,1,1,-51143,394792,-1240973,25796442,121076,-286449
1615674454.440958150,1,1,-45449,532599,-1240481,25797544,123659,-73411
1615674455.444490368,1,1,-45861,587683,-1240235,25799257,126526,-18598
1615674456.448018903,1,1,-46904,790127,-1238392,25799012,129740,167155
1615674457.451553871,1,1,-47347,662800,-1239990,25798890,124100,11733
1615674458.455093111,1,1,-48897,379684,-1240481,25796687,124825,-287587
1615674459.458621729,1,1,-48739,544271,-1238638,25798278,126810,-61976
1615674460.462154710,1,1,-45038,695136,-1238024,25799502,124856,111658
1615674461.465689200,1,1,-45924,743262,-1238638,25799502,127597,104881
1615674462.469221575,1,1,-48233,697747,-1238269,25798523,124573,26093
1615674463.472753383,1,1,-47853,390761,-1240235,25796809,122714,-260513
1615674464.476289152,1,1,-47442,549950,-1239990,25798645,127755,-56880
1615674465.479821667,1,1,-44595,803920,-1237040,25800114,125991,233544
1615674466.483348119,1,1,-49846,716553,-1239007,25798890,127188,69296
1615674467.486885878,1,1,-47157,640104,-1238146,25798523,124037,-9789
1615674468.490419402,1,1,-48581,439343,-1239375,25797911,123785,-190306
1615674469.493949998,1,1,-46082,552298,-1239867,25799135,126495,-53587
1615674470.497489944,1,1,-45671,837062,-1238146,25800971,129740,251547
1615674471.501017178,1,1,-49466,684690,-1239252,25798156,127408,35532
1615674472.504545038,1,1,-28117,2742408,-1231634,25800971,139065,1488707
1615674473.508081892,1,1,-47126,584178,-1239375,25799257,126117,-22485
1615674474.511619030,1,1,-49624,588420,-1239252,25798768,125770,-14290
1615674475.515141203,1,1,-47505,762891,-1238884,25799257,126400,129976
1615674476.518685718,1,1,-48233,654405,-1237901,25797911,124541,5831
1615674477.522212356,1,1,-49276,422570,-1239498,25798033,123533,-213335
1615674478.525747487,1,1,-50067,554629,-1239129,25798400,126054,-52081
1615674479.529280788,1,1,-43394,834065,-1237778,25800726,126589,237187
1615674480.532818559,1,1,-49498,671651,-1237778,25798278,123470,21470
1615674481.536358192,1,1,-50826,380595,-1239252,25797544,122178,-292438
1615674482.539877015,1,1,-50826,544780,-1238638,25798890,124258,-60259
1615674483.543410831,1,1,-49846,449333,-1237163,25799747,126495,-58386
1615674484.546950989,1,1,-47474,701778,-1238761,25799502,128102,54761
1615674485.550478988,1,1,-48960,542046,-1239252,25798890,124856,-126649
1615674486.554013979,1,1,-49087,522259,-1238024,25799012,125959,-85828
1615674487.557538393,1,1,-47442,574942,-1238146,25799502,127912,-30366
1615674488.561084984,1,1,-46525,775142,-1238024,25801338,126967,147138
1615674489.564608032,1,1,-47062,657227,-1238024,25799502,125896,8195
1615674490.568135672,1,1,-48011,397631,-1239375,25797789,123061,-248149
1615674491.571673897,1,1,-50194,552386,-1236918,25799502,127251,-53832
1615674492.575187300,1,1,-45165,839691,-1237040,25801950,127219,254489
1615674493.578766804,1,1,-46904,682955,-1238269,25799012,123376,32765
1615674494.582268777,1,1,-49846,410881,-1239990,25798523,124667,-290337
1615674495.585812780,1,1,-54274,23397,-1240481,25798523,120981,-484444
1615674496.589323955,1,1,-47916,651338,-1236180,25801093,125140,59892
1615674497.592866676,1,1,-48929,735288,-1237040,25799502,123943,93831
1615674498.596406900,1,1,-46651,647132,-1238392,25800114,126148,-3940
1615674499.599940053,1,1,-49656,466754,-1238884,25798890,122588,-154686
1615674500.603465217,1,1,-49814,556434,-1237163,25799747,126211,-50558
1615674501.606997975,1,1,-46019,824320,-1236180,25799869,127534,218098
1615674502.610530657,1,1,-45861,663466,-1237655,25799869,126621,14430
1615674503.614065704,1,1,-48739,381787,-1239867,25797666,121485,-284137
1615674504.617603277,1,1,-48834,545007,-1238392,25799992,126589,-59121
1615674505.621131478,1,1,-68791,-1527554,-1243922,25801460,126054,221321
1615674506.624673579,1,1,-46588,626311,-1236426,25800236,124321,-25515
1615674507.628190973,1,1,-45038,618126,-1237040,25799869,126274,-36986
1615674508.631738246,1,1,-48264,481388,-1237778,25798645,123533,-135317
1615674509.635265231,1,1,-48422,555698,-1237286,25799747,127534,-50102
1615674510.638793513,1,1,-45228,828597,-1235935,25801705,128165,229656
1615674511.642321122,1,1,-45955,672808,-1236549,25799747,128038,23466
1615674512.645864354,1,1,-51206,391409,-1239498,25796809,123029,-288533
1615674513.649407008,1,1,-49466,535911,-1236426,25799502,125266,-68893
1615674514.652921079,1,1,-46493,614165,-1236180,25801093,124667,16549
1615674515.656454381,1,1,-45260,766975,-1236057,25800359,127314,135265
1615674516.659988909,1,1,55476,11192879,-1199930,25801338,129771,439314
1615674517.663526729,1,1,-49023,343913,-1237655,25797789,121737,-318584
1615674518.667062027,1,1,-49150,545463,-1236918,25799747,123722,-59839
1615674519.670595206,1,1,-45481,787340,-1234829,25802562,125298,216330
1615674520.674134453,1,1,-45987,714905,-1235935,25801460,123250,70312
1615674521.677654247,1,1,-47632,640630,-1237163,25800114,124919,-7863
1615674522.681190323,1,1,-49182,441814,-1235935,25798890,122241,-184755
1615674523.684724242,1,1,-48802,554279,-1237040,25799747,124699,-51784
1615674524.688257265,1,1,-46082,838324,-1234091,25802807,129992,249165
1615674525.691788716,1,1,-48169,686355,-1236180,25800481,126558,36845
1615674526.695320464,1,1,-48739,472712,-1237409,25798768,126337,-203738
1615674527.698854162,1,1,-43931,940658,-1235320,25801705,130086,501518
1615674528.702386193,1,1,-49688,546672,-1236918,25799502,124919,-64673
1615674529.705930364,1,1,-45734,810703,-1235320,25802562,128165,198467
1615674530.709450520,1,1,-49719,668829,-1235935,25800481,124258,17424
1615674531.712973298,1,1,-51427,380333,-1238392,25798033,122525,-294487
1615674532.716529147,1,1,-49782,535333,-1235812,25801216,127534,-67982
1615674533.720060167,1,1,-49150,623296,-1235074,25801338,126022,29088
1615674534.723588180,1,1,-48043,765608,-1235197,25800481,125991,136473
1615674535.727119664,1,1,-48865,659172,-1235812,25800359,125392,10244
1615674536.730631842,1,1,-51490,380893,-1237409,25798523,120477,-279724
1615674537.734179350,1,1,-49561,542834,-1235566,25800236,125676,-59051
1615674538.737715499,1,1,-56361,-267167,-1237778,25800971,118996,-521762
1615674539.741256872,1,1,-45639,736988,-1234337,25801338,124667,97263
1615674540.744793947,1,1,-46873,655632,-1234829,25800481,124762,6619
1615674541.748359585,1,1,-48075,382874,-1237655,25799502,118177,-275486
1615674542.751849274,1,1,-48770,543220,-1235074,25801338,126810,-60592
1615674543.755377893,1,1,-46936,672755,-1234952,25801338,125833,87614
1615674544.758917875,1,1,-48549,758948,-1234337,25801705,128826,127419
1615674545.762445518,1,1,-48296,659348,-1234706,25800481,125392,10489
1615674546.765974036,1,1,-49023,378142,-1236672,25799257,120887,-286396
1615674547.769513020,1,1,-48264,544324,-1234583,25800971,122588,-62063
1615674548.773044438,1,1,-46715,612535,-1234706,25801705,126841,17057
1615674549.776583063,1,1,-50636,672142,-1234706,25802195,126463,108366
1615674550.780104412,1,1,-49751,656754,-1234829,25800114,126211,4483
1615674551.783640018,1,1,-50289,379544,-1236180,25798278,119721,-296046
1615674552.787172220,1,1,-49023,532231,-1234337,25800971,123344,-71135
1615674553.790708984,1,1,-47916,577168,-1233354,25801583,125077,-25497
1615674554.794240674,1,1,-46462,802097,-1233108,25803174,128038,188502
1615674555.797773407,1,1,-46841,668636,-1234829,25800114,124541,19053
1615674556.801323760,1,1,-51459,384206,-1236303,25800604,120603,-293734
1615674557.804837795,1,1,-50605,535105,-1235197,25800971,125802,-69191
1615674558.808371721,1,1,-48138,588612,-1234952,25800848,125045,-12171
1615674559.811902481,1,1,-46620,782188,-1233968,25802684,126558,159607
1615674560.815439843,1,1,-47632,667445,-1235074,25801460,124510,32275
1615674561.818968580,1,1,-51206,373655,-1236918,25800604,124384,-293156
1615674562.822504477,1,1,-50510,545060,-1233968,25801950,125991,-60540
1615674563.826039200,1,1,-49213,737812,-1233231,25802440,125329,162777
1615674564.829576529,1,1,-46556,725018,-1234952,25800604,128070,83481
1615674565.833099684,1,1,-49814,645555,-1235197,25801950,125108,-1015
1615674566.836626771,1,1,-50668,430370,-1235443,25799502,124793,-198712
1615674567.840169164,1,1,-49941,551282,-1234337,25801583,125234,-52466
1615674568.843698316,1,1,-48233,831524,-1232494,25803419,128732,244892
1615674569.847242502,1,1,-49909,679099,-1232740,25801093,123344,30418
1615674570.850763702,1,1,-50984,409619,-1235566,25799992,124384,-270618
1615674571.854290244,1,1,-51301,539715,-1234583,25801338,126054,-58631
1615674572.857833594,1,1,-51522,644100,-1233354,25802440,126274,51784
1615674573.861356696,1,1,-47505,737864,-1232863,25802072,129015,99890
1615674574.864895773,1,1,-48676,648446,-1232371,25801093,126999,1260
1615674575.868426419,1,1,-51016,440973,-1234829,25801093,124699,-185911
1615674576.871952546,1,1,-49688,554629,-1233231,25802195,123407,-50575
1615674577.875492912,1,1,-47347,829122,-1232125,25803419,128700,232739
1615674578.879021621,1,1,-49087,669986,-1233354,25801216,124825,21400
1615674579.882566409,1,1,-51269,378422,-1234829,25799624,123533,-292841
1615674580.886096087,1,1,-52028,543728,-1232371,25801950,123943,-59629
1615674581.889617641,1,1,-46398,790074,-1231511,25802929,128354,221443
